Player,Team,Position,Points,Games,Avg,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17
Trung Canidate,WAS,RB,79.1,11,7.2,4.6,8.9,4.6,9.5,3.5,2.7,,,,10.4,3.1,14.1,10.9,6.8,,,
Ashley Lelie,DEN,WR,79.1,16,4.9,1.2,4.5,17.7,14.2,3.6,0.5,4.3,2.8,2.2,,7.7,0.2,-0.4,0.7,7.1,11.5,1.3
Rock Cartwright,WAS,RB,78.7,15,5.3,0.4,6.1,2.7,7.4,1.2,1.2,1.8,,5.3,9.6,3.8,,6.7,1.9,9.4,5.6,15.6
Keyshawn Johnson,TB,WR,78.0,10,7.8,8.3,10.2,2.5,,6.2,14.0,0.4,6.7,12.3,14.0,3.4,,,,,,
Dez White,CHI,WR,77.6,15,5.2,2.8,6.7,,2.7,4.8,15.1,3.5,3.6,5.8,1.8,9.9,1.5,11.5,2.7,1.1,4.1,
Darnerien McCants,WAS,WR,76.0,15,5.1,6.4,2.1,14.7,0.0,13.9,11.2,1.7,,2.1,0.0,8.5,0.7,,8.8,0.5,4.0,1.4
Curtis Conway,NYJ,WR,76.0,16,4.8,2.8,8.1,7.0,2.4,,4.1,0.3,3.2,2.7,5.4,9.8,2.6,13.8,5.1,0.2,3.8,4.7
Robert Ferguson,GB,WR,75.2,15,5.0,5.3,8.9,3.4,0.0,0.5,3.6,2.5,,0.0,1.6,4.6,8.1,3.5,7.9,16.8,8.5,
Drew Bennett,TEN,WR,75.0,12,6.3,0.0,0.0,17.1,11.2,4.1,2.9,15.7,4.8,,,,,,0.0,3.2,14.4,1.6
Az-Zahir Hakim,DET,WR,74.8,14,5.3,,,1.6,0.9,3.4,,1.2,5.8,0.5,2.6,12.0,12.1,6.5,0.0,13.2,0.9,14.1
Troy Brown,NE,WR,73.9,12,6.2,1.0,4.3,2.3,7.0,12.4,2.0,19.1,1.3,-0.5,,,,,,10.3,3.5,11.2
Boo Williams,NO,TE,73.6,15,4.9,0.0,,0.1,0.7,0.7,2.1,9.2,0.8,1.3,,0.0,17.0,10.3,11.9,4.7,11.4,3.4
Corey Dillon,CIN,RB,73.2,13,5.6,4.1,15.0,2.6,2.0,,,11.5,,1.3,,3.6,11.3,5.1,4.5,2.4,3.7,6.1
Itula Mili,SEA,TE,73.2,16,4.6,0.2,0.9,3.4,,3.1,7.5,0.7,20.0,2.1,1.9,2.9,5.4,6.2,0.3,6.9,7.0,4.7
Josh Reed,BUF,WR,72.6,16,4.5,0.5,7.1,2.7,0.9,2.0,4.2,16.9,3.9,,3.8,7.5,2.6,7.5,9.0,0.0,0.0,4.0
Tim Couch,CLE,QB,72.3,10,7.2,,,,17.5,21.4,4.9,0.1,1.6,,,,,0.2,6.7,14.9,0.5,4.5
Marcus Pollard,IND,TE,72.1,13,5.6,2.8,1.2,,6.3,4.4,2.7,,9.2,6.8,15.2,,,9.6,3.0,2.4,5.5,3.0
Randy McMichael,MIA,TE,71.8,16,4.5,1.6,8.1,5.7,,5.7,2.7,10.2,8.4,8.8,1.7,0.9,1.5,2.4,0.0,9.5,0.6,4.0
Alge Crumpler,ATL,TE,71.2,16,4.5,15.4,11.4,3.1,7.6,3.1,1.0,3.7,,1.0,2.1,1.0,1.8,4.8,5.7,0.2,6.6,2.7
Corey Bradford,HOU,WR,70.0,15,4.7,14.5,4.3,0.7,0.9,,18.7,0.7,-0.1,0.0,13.3,0.7,1.9,,1.2,2.4,9.6,1.2
Freddie Jones,ARI,TE,69.7,16,4.4,12.5,2.5,3.2,0.0,3.9,12.0,,2.2,9.8,6.6,0.7,1.1,6.2,1.4,3.5,1.1,3.0
DeShaun Foster,CAR,RB,69.6,14,5.0,2.2,2.0,,3.0,2.5,13.9,1.0,2.5,1.7,5.4,0.2,,,0.9,12.6,15.4,6.3
Anthony Wright,BAL,QB,69.3,7,9.9,,,,,,,,,,,-1.1,31.5,13.7,6.1,7.5,7.2,4.4
Quincy Morgan,CLE,WR,69.2,16,4.3,1.4,1.8,2.4,15.2,5.2,1.4,2.2,0.4,,2.5,17.6,1.6,3.0,12.4,1.2,1.0,-0.1
Rich Gannon,LV,QB,68.8,7,9.8,19.2,4.2,6.0,24.5,3.8,10.7,0.4,,,,,,,,,,
Tim Brown,LV,WR,68.7,16,4.3,12.4,0.7,1.1,17.0,4.3,1.4,4.2,,4.9,3.3,2.5,5.0,2.2,1.9,4.1,3.0,0.7
Antonio Bryant,DAL,WR,67.0,16,4.2,7.1,9.8,,7.3,1.6,4.9,5.5,0.0,5.2,2.1,3.7,1.7,10.4,0.0,1.6,4.1,2.0
James Thrash,PHI,WR,67.0,16,4.2,9.3,8.0,,5.1,2.6,1.5,-0.3,2.7,6.9,5.5,4.8,1.9,8.7,3.4,4.8,1.3,0.8
Jamel White,CLE,RB,66.9,16,4.2,2.6,0.8,1.3,8.0,-0.3,3.0,2.0,2.4,,2.5,3.2,2.5,4.9,20.0,5.5,3.1,5.4
Freddie Mitchell,PHI,WR,66.8,16,4.2,1.5,1.6,,2.4,3.9,2.7,0.0,2.9,10.3,2.3,6.0,2.4,4.0,5.8,8.0,2.3,10.7
Josh McCown,ARI,QB,66.6,8,8.3,,3.3,,2.7,,,,,,,-1.9,0.0,,12.3,15.7,16.8,17.7
Todd Pinkston,PHI,WR,66.4,16,4.2,0.7,3.5,,6.0,2.2,0.0,0.6,2.3,1.5,7.5,2.2,4.8,1.5,2.3,7.8,16.1,7.4
Arizona Cardinals,ARI,DST,66.0,16,4.1,-4.0,0.0,8.0,-1.0,3.0,2.0,,9.0,7.0,2.0,-4.0,20.0,4.0,-1.0,6.0,9.0,6.0
Dane Looker,LAR,WR,65.9,16,4.1,1.7,10.7,2.5,8.7,,2.3,9.1,2.7,3.2,3.8,2.7,1.2,4.1,5.0,3.0,1.7,3.5
Troy Edwards,JAC,WR,65.8,12,5.5,,,,17.1,9.9,2.9,,6.3,6.2,1.8,6.7,,2.4,1.2,1.7,0.9,8.7
Jimmy Kleinsasser,MIN,TE,65.6,16,4.1,0.0,14.9,3.0,2.9,0.0,,1.3,0.8,7.6,6.1,6.7,1.7,7.9,0.6,3.0,7.3,1.8
Daniel Graham,NE,TE,64.9,13,5.0,0.1,0.3,3.7,5.4,,,0.9,11.0,9.9,,0.5,11.3,,2.4,12.9,0.4,6.1
Donte' Stallworth,NO,WR,64.8,11,5.9,10.1,10.6,0.0,1.7,1.5,2.1,12.9,,,,0.5,,,,2.3,5.7,17.4
Kyle Boller,BAL,QB,64.6,11,5.9,11.5,-0.6,5.9,1.1,,3.5,18.9,10.6,8.6,4.7,,,,,,0.4,0.0
Troy Walters,IND,WR,64.2,13,4.9,2.7,0.8,,1.3,4.2,4.2,,3.4,9.7,7.3,14.8,,11.6,2.0,0.0,,2.2
Jeremy Shockey,NYG,TE,63.5,9,7.1,3.6,6.8,6.5,,11.0,8.0,6.3,8.1,8.6,4.6,,,,,,,
Michael Vick,ATL,QB,63.0,5,12.6,,,,,,,,,,,,,4.0,25.3,0.9,16.7,16.1
Ricky Proehl,CAR,WR,62.9,16,3.9,8.0,0.8,,7.0,2.2,0.0,1.2,0.9,0.0,19.3,2.2,3.6,2.4,0.0,0.0,2.7,12.6
Rick Mirer,LV,QB,62.9,9,7.0,,,,,,,,,1.0,11.6,8.2,22.6,5.7,-3.3,12.2,2.6,2.3
William Green,CLE,RB,62.9,7,9.0,10.5,4.1,4.7,6.4,12.0,18.3,6.9,,,,,,,,,,
Michael Bennett,MIN,RB,61.9,8,7.7,,,,,,,,,5.8,2.5,7.2,13.3,12.2,11.5,,3.1,6.3
James Jackson,CLE,RB,61.6,11,5.6,0.6,,0.0,1.5,,0.3,4.9,7.5,,12.4,17.3,10.3,3.8,3.0,,,
Anthony Becht,NYJ,TE,61.6,16,3.9,1.2,1.2,3.0,0.2,,16.1,3.0,3.1,10.4,2.6,-0.1,6.3,0.0,1.4,1.1,2.9,9.2
Mike Anderson,DEN,RB,61.0,12,5.1,1.5,13.1,13.5,4.9,1.5,0.0,7.4,0.0,6.1,,,,,,1.0,12.0,0.0
Zack Crockett,LV,RB,59.8,15,4.0,,0.0,7.0,1.4,7.2,0.3,6.6,,0.3,9.1,15.4,0.5,1.2,0.5,6.4,0.0,3.9
Tony Fisher,GB,RB,58.6,15,3.9,0.0,8.4,4.5,2.4,9.3,1.8,,,5.6,1.7,8.3,2.5,0.0,2.2,4.1,4.5,3.3
Tim Rattay,SF,QB,58.2,8,7.3,,0.6,,9.8,,,,0.1,19.8,,18.0,7.7,1.8,0.4,,,
Morten Andersen,KC,K,58.0,16,3.6,3.0,5.0,6.0,2.0,3.0,4.0,2.0,5.0,,5.0,1.0,3.0,4.0,3.0,6.0,2.0,4.0
Olandis Gary,DET,RB,57.3,13,4.4,4.4,1.5,2.1,4.0,13.8,,3.7,2.3,11.2,-0.2,4.7,2.1,3.7,4.0,,,
Charles Lee,TB,WR,56.6,7,8.1,,,,,,,,,0.0,,,15.1,4.7,6.0,10.1,14.8,5.9
Tyrone Calico,TEN,WR,56.2,12,4.7,7.1,6.7,0.0,,11.2,9.2,2.0,8.7,,8.6,2.7,0.0,0.0,,0.0,,
Erron Kinney,TEN,TE,56.1,16,3.5,4.6,2.4,2.8,7.9,1.4,1.2,1.0,3.2,,1.1,0.9,3.7,2.8,4.1,10.4,6.2,2.4
Najeh Davenport,GB,RB,55.8,15,3.7,0.8,3.2,0.0,,0.2,10.3,12.4,,4.9,2.4,7.1,6.2,1.4,1.6,0.5,2.1,2.7
Arlen Harris,LAR,RB,55.7,16,3.5,1.6,-2.0,-2.0,6.5,,4.9,14.7,27.6,4.3,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6
Nate Burleson,MIN,WR,55.5,16,3.5,0.0,0.6,2.9,11.4,7.1,,0.0,5.2,5.1,7.9,1.2,3.2,2.8,0.0,1.6,5.7,0.8
Mikhael Ricks,DET,TE,55.4,15,3.7,4.3,1.4,3.9,0.7,13.6,,0.0,7.5,0.9,,4.5,4.6,5.6,2.5,2.7,0.0,3.2
Kelley Washington,CIN,WR,54.4,15,3.6,1.8,0.0,,2.8,1.8,,0.0,10.2,1.7,0.0,0.0,12.1,11.1,3.4,0.0,9.1,0.4
Ladell Betts,WAS,RB,54.2,9,6.0,8.1,11.2,9.6,9.5,3.8,5.2,1.1,,,,,,5.4,0.3,,,
James McKnight,MIA,WR,54.0,15,3.6,1.2,0.0,1.8,,14.5,3.3,1.6,10.3,0.0,0.0,0.6,15.6,1.5,0.4,2.3,0.9,
Dante Hall,KC,RB,53.6,16,3.4,5.8,2.1,5.0,-0.5,1.7,3.2,0.0,16.7,,-1.2,0.4,1.9,0.2,13.9,3.8,0.3,0.3
Billy Miller,HOU,TE,53.5,16,3.3,2.0,1.2,0.8,1.3,,4.7,1.4,9.7,11.8,1.1,0.0,7.6,4.0,2.9,1.0,3.3,0.7
Jabar Gaffney,HOU,WR,53.5,14,3.8,7.0,6.1,4.2,9.8,,0.0,0.8,5.8,3.0,6.8,4.0,1.3,2.8,0.5,,1.4,
Gus Frerotte,MIN,QB,53.5,5,10.7,,,9.5,26.3,17.9,,,,,,,,0.0,,,-0.2,
LaMont Jordan,NYJ,RB,53.1,14,3.8,6.0,6.1,1.9,-0.2,,3.3,10.8,7.8,1.2,13.2,2.5,,,0.3,0.0,0.0,0.2
Bubba Franks,GB,TE,52.1,15,3.5,3.8,2.1,2.2,9.9,4.0,6.1,2.6,,,0.4,0.0,0.7,9.2,2.6,0.0,2.3,6.2
Bill Schroeder,DET,WR,51.7,16,3.2,9.6,4.2,5.4,0.0,0.2,,2.6,3.1,0.0,1.8,3.0,4.4,2.2,3.8,2.3,0.9,8.2
Cedrick Wilson,SF,WR,51.4,16,3.2,0.8,5.9,1.2,4.1,0.0,3.5,1.3,0.0,3.1,,0.9,4.3,0.8,9.8,3.0,1.7,11.0
Desmond Clark,CHI,TE,51.3,15,3.4,6.9,3.3,,6.3,-0.1,2.3,1.9,,3.1,9.9,4.4,3.3,1.9,1.3,3.0,0.4,3.4
Ryan Longwell,GB,K,51.0,16,3.2,2.0,4.0,1.0,5.0,5.0,4.0,3.0,,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0
LaBrandon Toefield,JAC,RB,51.0,16,3.2,0.7,1.1,1.4,1.3,0.7,2.9,,0.7,2.8,0.5,2.9,4.3,0.9,12.9,0.0,8.5,9.4
Chester Taylor,BAL,RB,50.8,16,3.2,0.9,1.1,1.2,5.5,,7.0,7.0,1.6,9.3,2.8,4.3,-2.1,1.2,2.6,2.4,4.5,1.5
Jerald Sowell,NYJ,RB,49.8,16,3.1,2.0,1.0,3.6,2.1,,1.6,2.9,2.2,3.0,11.2,2.1,5.2,3.2,0.4,2.6,2.4,4.3
Jed Weaver,SF,TE,49.7,16,3.1,0.0,3.5,2.4,1.7,0.9,1.6,1.6,1.3,1.6,,2.8,1.4,2.7,7.6,2.7,6.1,11.8
Antonio Gates,LAC,TE,48.9,14,3.5,,0.0,0.0,3.0,-1.2,,0.0,,0.0,11.5,0.0,1.2,10.9,1.8,11.7,6.4,3.6
Stacey Mack,HOU,RB,48.8,8,6.1,9.5,3.1,6.2,5.9,,1.9,13.3,0.3,8.6,,,,,,,,
Brian Finneran,ATL,WR,48.8,11,4.4,4.5,,,,,5.5,9.2,,4.9,0.5,0.7,,3.1,4.7,3.8,7.3,4.6
Emmitt Smith,ARI,RB,48.3,10,4.8,7.3,5.4,6.6,8.5,0.1,,,,,,,,0.2,1.5,8.3,3.6,6.8
Antwaan Randle El,PIT,WR,48.2,16,3.0,0.4,1.5,2.4,6.2,2.8,1.6,,5.2,4.5,-0.3,9.8,0.7,0.9,5.9,1.4,1.0,4.2
Aaron Elling,MIN,K,48.0,16,3.0,3.0,3.0,2.0,5.0,3.0,,4.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,1.0,6.0,2.0
Josh Brown,SEA,K,48.0,16,3.0,3.0,5.0,3.0,,1.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,1.0,2.0,4.0,3.0
Bryant Johnson,ARI,WR,47.8,15,3.2,0.7,4.8,8.6,4.0,0.6,,,1.8,0.0,13.6,0.0,0.6,0.5,1.6,1.8,7.0,2.2
Aveion Cason,DAL,RB,47.7,10,4.8,16.6,1.5,,3.7,2.0,4.5,2.0,1.9,1.8,,,9.5,4.2,,,,
Derrick Blaylock,KC,RB,47.3,13,3.6,1.5,1.9,7.9,0.0,,,0.0,0.0,,0.0,,11.3,3.0,2.8,17.3,0.4,1.2
Jeff Wilkins,LAR,K,46.7,16,2.9,1.0,3.0,2.0,4.0,,4.0,4.0,3.0,1.0,3.0,2.0,3.0,6.0,2.7,3.0,3.0,2.0
Tim Hasselbeck,WAS,QB,46.6,7,6.7,,,,,,,,,0.7,,,9.0,6.2,14.0,-5.6,16.9,5.4
Scotty Anderson,DET,WR,46.5,7,6.6,,4.2,,10.3,,,2.7,5.9,1.0,7.7,14.7,,,,,,
Mike Vanderjagt,IND,K,46.0,16,2.9,0.0,3.0,2.0,7.0,5.0,2.0,,3.0,2.0,2.0,5.0,0.0,4.0,2.0,5.0,2.0,2.0
Chris Chandler,CHI,QB,45.6,8,5.7,,-1.7,,,,,4.4,13.3,8.1,8.2,6.3,3.4,,,,,3.6
Matt Schobel,CIN,TE,45.2,12,3.8,9.7,1.3,0.8,,,,12.2,,2.3,2.7,0.5,,7.8,2.2,1.5,0.0,4.2
Ricky Williams,IND,RB,45.2,13,3.5,16.9,22.2,18.9,13.4,21.4,11.5,10.3,7.5,11.9,5.9,12.9,23.7,12.5,7.3,16.8,11.6,20.5
Eric Parker,LAC,WR,44.5,8,5.6,10.3,11.9,4.0,3.1,10.4,,2.2,2.6,0.0,,,,,,,,
Tony Banks,HOU,QB,44.4,6,7.4,,,6.3,,,,,2.2,11.4,,10.3,10.2,4.0,,,,
Chad Morton,WAS,RB,44.3,15,3.0,1.1,0.0,2.7,3.0,3.0,0.0,3.5,,5.4,,0.0,6.8,1.7,5.6,-0.9,9.6,2.8
Robert Holcombe,TEN,RB,44.2,15,3.0,2.0,3.0,-0.2,1.4,1.9,8.5,5.6,6.5,,2.1,-1.3,0.1,0.4,6.0,5.1,3.1,
Charles Rogers,DET,WR,44.0,5,8.8,17.0,4.3,5.4,12.2,5.1,,,,,,,,,,,,
Justin Gage,CHI,WR,43.8,9,4.9,,,,,,,2.6,11.8,5.2,1.6,0.0,,10.0,2.8,1.6,8.2,
Mack Strong,SEA,RB,43.0,16,2.7,4.1,0.3,1.2,,0.1,12.2,2.9,0.9,1.3,3.2,2.1,1.6,7.8,0.7,1.6,2.9,0.1
Michael Cloud,NE,RB,42.6,5,8.5,,,,,19.3,8.3,0.8,,,,,1.6,12.6,,,,
David Terrell,CHI,WR,42.5,16,2.7,0.6,7.4,,4.8,0.0,0.5,3.4,2.2,3.8,1.4,0.4,1.4,0.9,4.8,4.2,2.2,4.5
David Akers,PHI,K,42.0,16,2.6,0.0,1.0,,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0
Gary Anderson,TEN,K,42.0,15,2.8,,1.0,3.0,4.0,1.0,5.0,4.0,3.0,,4.0,1.0,5.0,2.0,1.0,2.0,3.0,3.0
Lamar Gordon,LAR,RB,41.7,9,4.6,,5.7,6.6,14.9,,9.2,2.0,,,,1.0,,0.6,,0.2,1.5,
Dorsey Levens,NYG,RB,41.6,11,3.8,,,,,,,6.4,1.3,10.2,6.1,0.1,0.2,0.4,8.1,5.6,0.4,2.8
Jerry Porter,LV,TE,41.1,9,4.6,0.6,,,,,,6.9,,4.9,8.7,4.9,9.9,2.9,1.2,1.1,,
Ernie Conwell,NO,TE,41.0,9,4.6,3.8,6.2,4.7,8.8,4.4,7.2,3.6,2.3,0.0,,,,,,,,
Justin Griffith,ATL,RB,41.0,15,2.7,4.7,2.8,0.6,1.2,0.0,0.4,0.4,,0.6,6.4,,2.3,4.1,3.5,0.9,3.2,9.9
Jason Witten,DAL,TE,40.7,15,2.7,1.3,2.5,,0.0,4.1,,0.0,1.5,0.0,2.4,0.6,4.9,5.8,3.5,0.0,9.6,4.5
Christian Fauria,NE,TE,40.5,15,2.7,0.7,13.9,4.9,3.1,3.3,0.7,1.6,0.0,3.0,,2.4,1.0,4.5,0.0,,1.0,0.4
Billy Volek,TEN,QB,40.2,6,6.7,,0.3,,,,-0.1,6.0,,,0.9,,8.9,,,24.2,,
Dallas Clark,IND,TE,40.0,10,4.0,1.8,6.3,1.6,7.1,2.3,3.1,,,,4.3,10.0,1.7,1.8,,,,
Shayne Graham,CIN,K,40.0,16,2.5,1.0,2.0,1.0,3.0,1.0,,4.0,3.0,2.0,4.0,3.0,4.0,3.0,1.0,5.0,1.0,2.0
Mark Campbell,BUF,TE,39.9,14,2.9,2.4,3.8,0.1,3.8,2.0,1.9,3.6,2.1,,0.9,0.6,,,0.0,8.8,5.5,4.4
Kassim Osgood,LAC,WR,39.8,14,2.8,0.0,0.0,1.8,2.3,0.0,,,0.0,0.0,,7.9,0.0,6.2,0.8,4.6,16.2,0.0
William Henderson,GB,RB,39.4,13,3.0,,0.2,4.7,10.7,8.8,1.0,7.5,,1.9,0.0,0.0,,0.0,0.8,3.7,0.1,
Brandon Stokley,IND,WR,39.1,6,6.5,,,,,,,,0.0,3.4,,,,,1.0,21.5,0.5,12.7
Jason Elam,DEN,K,39.0,16,2.4,3.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,,4.0,1.0,2.0,6.0,2.0,4.0,0.0
Lee Suggs,CLE,RB,38.9,7,5.6,,,,,,,,,,,0.5,0.0,0.0,0.0,3.0,4.8,30.6
Quentin Griffin,DEN,RB,38.6,9,4.3,,,1.2,2.3,,,,,0.3,,5.4,2.6,0.3,1.0,,16.0,9.5
Cory Schlesinger,DET,RB,38.3,16,2.4,8.9,0.4,1.3,0.8,2.1,,1.5,1.8,11.6,2.8,2.2,0.2,0.7,0.4,2.7,0.0,0.9
L.J. Smith,PHI,TE,38.1,14,2.7,0.0,,,1.7,3.9,0.5,2.5,3.2,9.7,0.0,2.9,2.8,1.5,6.6,1.6,,1.2
Brandon Manumaleuna,LAR,TE,37.3,16,2.3,1.1,0.0,0.5,2.8,,5.6,2.3,3.2,0.0,1.5,6.7,2.6,0.0,1.3,-0.5,1.8,8.4
Adam Vinatieri,NE,K,37.0,16,2.3,0.0,4.0,2.0,2.0,5.0,2.0,1.0,0.0,3.0,,0.0,2.0,5.0,1.0,3.0,3.0,4.0
Brandon Bennett,CIN,RB,36.9,15,2.5,-0.9,5.9,3.0,1.5,-1.5,,0.5,0.2,,7.2,0.0,3.3,1.6,7.6,1.6,4.0,2.9
John Carney,NO,K,36.3,16,2.3,1.0,4.0,1.0,1.3,1.0,2.0,6.0,2.0,2.0,,2.0,2.0,3.0,1.0,6.0,1.0,1.0
Steve Christie,LAC,K,36.0,16,2.3,2.0,1.0,1.0,4.0,3.0,,2.0,1.0,1.0,6.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0
Derrius Thompson,MIA,WR,35.9,16,2.2,0.0,2.4,3.2,,2.2,1.6,6.5,2.0,0.0,1.7,1.0,1.6,3.8,3.1,3.5,0.0,3.3
Chad Lewis,PHI,TE,35.3,15,2.4,2.2,3.6,,,0.0,0.9,1.5,0.8,1.4,3.3,1.6,3.7,2.9,2.8,3.1,1.2,6.3
Mark Brunell,JAC,QB,35.3,3,11.8,18.7,12.2,4.4,,,,,,,,,,,,,,
Brandon Lloyd,SF,WR,35.2,13,2.7,0.0,,0.0,0.0,2.6,,0.0,,9.5,,1.5,0.0,3.2,0.6,0.2,11.3,6.3
Matt Stover,BAL,K,35.0,16,2.2,1.0,3.0,3.0,1.0,,2.0,1.0,2.0,1.0,1.0,0.0,5.0,5.0,4.0,0.0,5.0,1.0
Wayne Chrebet,NYJ,WR,34.9,7,5.0,4.0,6.9,11.5,3.7,,1.0,,4.4,3.4,,,,,,,,
Brock Forsey,CHI,RB,34.8,5,7.0,,,,,,,0.5,12.6,,,,,22.1,-0.4,,0.0,
Brian Griese,MIA,QB,33.9,5,6.8,,,,,,,,19.5,9.2,-4.8,3.6,6.4,,,,,
Terry Jones,BAL,TE,33.9,15,2.3,2.1,0.6,1.1,0.0,,1.7,1.5,6.9,1.7,0.5,0.0,0.0,7.2,,2.5,7.1,1.0
Olindo Mare,MIA,K,33.0,16,2.1,2.0,3.0,2.0,,2.0,3.0,1.0,3.0,2.0,1.0,0.0,3.0,4.0,0.0,3.0,2.0,2.0
Martin Gramatica,TB,K,33.0,16,2.1,2.0,0.0,4.0,,5.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Bryan Gilmore,ARI,WR,32.8,14,2.3,1.2,,,0.0,9.0,7.4,,1.8,4.0,0.0,0.9,5.0,0.3,0.0,2.4,0.8,0.0
Matt Hatchette,JAC,WR,32.3,6,5.4,12.0,1.2,10.5,2.5,4.5,1.6,,,,,,,,,,,
Jay Feely,ATL,K,32.0,16,2.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,,1.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0
Bethel Johnson,NE,WR,31.7,15,2.1,2.5,2.1,0.0,0.0,0.0,1.5,0.0,3.9,0.0,,1.6,12.5,0.7,0.0,,0.0,6.9
Maurice Morris,SEA,RB,31.1,16,1.9,0.0,6.7,2.8,,1.8,0.5,0.0,2.4,4.7,0.6,1.7,0.2,0.0,0.0,0.9,7.7,1.1
Doug Jolley,LV,TE,31.0,12,2.6,3.3,0.8,4.2,10.7,3.5,2.0,0.0,,0.0,,2.5,1.1,,,2.6,,0.3
Jeff Reed,PIT,K,31.0,16,1.9,4.0,2.0,2.0,1.0,1.0,0.0,,3.0,1.0,4.0,2.0,1.0,2.0,3.0,0.0,4.0,1.0
Tim Carter,NYG,WR,30.9,11,2.8,0.0,2.8,0.5,,0.8,2.0,1.1,4.5,,5.6,4.8,,4.6,4.2,,,
Ken Dilger,TB,TE,30.4,13,2.3,0.3,3.0,2.4,,6.3,0.6,0.5,5.1,0.6,,1.8,,0.0,8.6,,0.9,0.3
Kyle Brady,JAC,TE,30.1,16,1.9,1.1,4.2,1.8,0.0,1.2,3.7,,3.1,1.1,2.5,3.5,0.0,7.2,0.4,0.8,0.4,-0.9
Seth Marler,JAC,K,30.0,16,1.9,2.0,2.0,1.0,2.0,3.0,1.0,,2.0,2.0,4.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0
Billy Cundiff,DAL,K,30.0,15,2.0,1.0,2.0,,2.0,2.0,2.0,5.0,0.0,3.0,1.0,,3.0,3.0,1.0,3.0,1.0,1.0
Chris Doering,PIT,WR,30.0,13,2.3,,2.1,2.5,4.4,0.0,,,,0.0,12.2,6.1,0.0,0.7,0.0,0.8,0.0,1.2
Marc Edwards,JAC,RB,29.9,15,2.0,6.9,3.5,0.1,4.2,2.6,0.3,,1.4,0.9,0.5,0.7,2.0,,0.3,4.1,0.0,2.4
Stanley Pritchett,CHI,RB,29.6,15,2.0,0.6,1.1,,0.6,7.9,0.6,7.9,-0.4,0.0,1.1,0.6,3.2,0.6,0.5,,5.3,0.0
John Kasay,CAR,K,29.0,16,1.8,1.0,0.0,,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0
Frank Wycheck,TEN,TE,28.5,10,2.9,1.2,,,,,,,1.0,,1.6,0.0,15.9,1.0,2.0,0.4,2.5,2.9
Wesley Walls,GB,TE,28.2,12,2.4,,,,0.0,0.5,6.4,1.6,,0.0,1.5,,0.5,6.7,1.3,0.4,8.2,1.1
Chris Brown,TEN,RB,28.2,11,2.6,,,,0.3,0.6,3.6,,,,5.0,0.2,2.7,1.1,2.3,0.6,8.8,3.0
Mike Alstott,TB,RB,28.0,4,7.0,5.9,3.1,16.4,,2.6,,,,,,,,,,,,
Sebastian Janikowski,LV,K,28.0,16,1.8,2.0,2.0,1.0,4.0,0.0,1.0,1.0,,1.0,3.0,4.0,3.0,0.0,1.0,2.0,1.0,2.0
Casey Fitzsimmons,DET,TE,28.0,13,2.2,0.0,1.8,,1.5,2.2,,0.0,0.1,0.0,3.3,0.7,0.6,1.3,6.9,,,9.6
Dominic Rhodes,IND,RB,27.9,11,2.5,,,,11.2,0.2,,,1.4,4.9,,0.0,0.0,0.9,1.6,4.5,0.1,3.1
George Wrighster,JAC,TE,27.0,13,2.1,0.0,8.1,,,0.0,0.0,,8.3,0.0,2.8,2.0,0.6,0.0,1.1,,3.0,1.1
Kris Brown,HOU,K,27.0,16,1.7,0.0,1.0,2.0,3.0,,2.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0
Paul Edinger,CHI,K,27.0,16,1.7,1.0,1.0,,2.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,3.0,0.0
Fred Beasley,SF,RB,26.8,15,1.8,1.7,0.0,0.5,0.6,0.0,0.0,0.3,1.7,5.1,,9.4,,4.4,0.9,0.5,1.1,0.6
Michael Lewis,NO,WR,26.8,13,2.1,-1.8,0.0,0.0,0.0,,,1.2,0.0,12.9,,8.5,0.0,,0.0,0.0,1.4,4.6
Jon Ritchie,PHI,RB,26.7,14,1.9,1.2,0.0,,0.4,7.4,0.2,0.3,7.0,0.0,1.1,,6.2,0.9,,1.3,0.7,0.0
Travis Minor,MIA,RB,26.6,15,1.8,0.3,2.7,,,0.0,2.3,0.0,0.0,1.1,2.7,3.0,2.0,2.6,-0.4,8.4,1.9,0.0
